2017-10-07 15:25:22 install libc-bin:armhf <none> 2.23-0ubuntu3
2017-10-07 15:25:22 status half-installed libc-bin:armhf 2.23-0ubuntu3
2017-10-07 15:25:22 status unpacked libc-bin:armhf 2.23-0ubuntu3
2017-10-07 15:25:22 status unpacked libc-bin:armhf 2.23-0ubuntu3
2017-10-07 15:25:22 upgrade libc6:armhf 2.23-0ubuntu3 2.23-0ubuntu3
2017-10-07 15:25:22 status half-configured libc6:armhf 2.23-0ubuntu3
2017-10-07 15:25:22 status unpacked libc6:armhf 2.23-0ubuntu3
2017-10-07 15:25:22 status half-installed libc6:armhf 2.23-0ubuntu3
2017-10-07 15:25:24 status half-installed libc6:armhf 2.23-0ubuntu3
2017-10-07 15:25:24 status unpacked libc6:armhf 2.23-0ubuntu3
2017-10-07 15:25:24 status unpacked libc6:armhf 2.23-0ubuntu3
2017-10-07 15:25:25 install libcap2:armhf <none> 1:2.24-12
2017-10-07 15:25:25 status half-installed libcap2:armhf 1:2.24-12
2017-10-07 15:25:25 status unpacked libcap2:armhf 1:2.24-12
2017-10-07 15:25:25 status unpacked libcap2:armhf 1:2.24-12
2017-10-07 15:25:25 install libcap2-bin:armhf <none> 1:2.24-12
2017-10-07 15:25:25 status half-installed libcap2-bin:armhf 1:2.24-12
2017-10-07 15:25:25 status unpacked libcap2-bin:armhf 1:2.24-12
2017-10-07 15:25:25 status unpacked libcap2-bin:armhf 1:2.24-12
2017-10-07 15:25:25 install libcomerr2:armhf <none> 1.42.13-1ubuntu1
2017-10-07 15:25:25 status half-installed libcomerr2:armhf 1.42.13-1ubuntu1
2017-10-07 15:25:25 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2017-10-07 15:25:25 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2017-10-07 15:25:25 install libcryptsetup4:armhf <none> 2:1.6.6-5ubuntu2
2017-10-07 15:25:25 status half-installed libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2017-10-07 15:25:25 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2017-10-07 15:25:25 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2017-10-07 15:25:25 install libdb5.3:armhf <none> 5.3.28-11
2017-10-07 15:25:25 status half-installed libdb5.3:armhf 5.3.28-11
2017-10-07 15:25:26 status unpacked libdb5.3:armhf 5.3.28-11
2017-10-07 15:25:26 status unpacked libdb5.3:armhf 5.3.28-11
2017-10-07 15:25:26 install libdebconfclient0:armhf <none> 0.198ubuntu1
2017-10-07 15:25:26 status half-installed libdebconfclient0:armhf 0.198ubuntu1
2017-10-07 15:25:26 status unpacked libdebconfclient0:armhf 0.198ubuntu1
2017-10-07 15:25:26 status unpacked libdebconfclient0:armhf 0.198ubuntu1
2017-10-07 15:25:26 install libdevmapper1.02.1:armhf <none> 2:1.02.110-1ubuntu10
2017-10-07 15:25:26 status half-installed libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2017-10-07 15:25:26 status unpacked libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2017-10-07 15:25:26 status unpacked libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2017-10-07 15:25:26 install libfdisk1:armhf <none> 2.27.1-6ubuntu3
2017-10-07 15:25:26 status half-installed libfdisk1:armhf 2.27.1-6ubuntu3
2017-10-07 15:25:26 status unpacked libfdisk1:armhf 2.27.1-6ubuntu3
2017-10-07 15:25:26 status unpacked libfdisk1:armhf 2.27.1-6ubuntu3
2017-10-07 15:25:26 install libgcc1:armhf <none> 1:6.0.1-0ubuntu1
2017-10-07 15:25:26 status half-installed libgcc1:armhf 1:6.0.1-0ubuntu1
2017-10-07 15:25:26 status unpacked libgcc1:armhf 1:6.0.1-0ubuntu1
